"rep_proj","study_num","study_title","authors","first_author","study_rep_number","journal","how","n_nhst_tot","n_error_tot","n_decision_error_tot","n_nhst_rep","ex_yn","ex_correction","ex_clear","nhst_yn","nhst_check"
"OSC",21,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.","B Dessalegn, B Landau","Dessalegn","4","PS","pdf_search",27,NA,NA,2,0,NA,NA,1,1
"OSC",22,"Stereotypes and retrieval-provoked illusory source recollections.","CS Dodson, J Darragh, A Williams","Dodson","3","JEP:LMC","r_function",35,0,0,12,0,NA,NA,1,1
"OSC",23,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","PW Eastwick, EJ Finkel","Eastwick","1","JPSP","r_function",NA,NA,NA,NA,0,NA,NA,1,1
"OSC",24,"Nonconscious goal pursuit in novel environments: The case of implicit learning.","B Eitam, RR Hassin, Y Schul","Eitam","2","PS","pdf_search",2,NA,NA,1,1,NA,1,1,1
"OSC",25,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.","N Epley, S Akalis, A Waytz, JT Cacioppo","Epley","3","PS","pdf_search",10,NA,NA,4,0,NA,NA,1,1
"OSC",26,"Poignancy: Mixed emotional experience in the face of meaningful endings.","H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen","Ersner-Hershfield","2","JPSP","r_function",33,1,0,8,0,NA,NA,1,1
"OSC",27,"Head up, foot down: Object words orient attention to the objects' typical location.","Z Estes, M Verges, LW Barsalou","Estes","1","PS","pdf_search",22,NA,NA,4,1,NA,1,1,1
"OSC",28,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?","JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet","Exline","7","JPSP","r_function",63,2,1,8,0,NA,NA,1,1
"OSC",29,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.","S Farrell","Farrell","2","JEP:LMC","r_function",36,1,0,12,1,NA,0,1,1
"OSC",30,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent","C Farris, TA Treat, RJ Viken, RM McFall","Farris","1","PS","r_function",8,0,0,8,0,NA,NA,1,1
"OSC",31,"The ultimate sampling dilemma in experience-based decision making.","K Fiedler","Fiedler","2","JPSP","r_function",14,1,0,14,0,NA,NA,1,1
"OSC",32,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.","P Fischer, S Schulz-Hardt, D Frey","Fischer","4","JPSP","r_function",25,2,0,9,1,NA,1,1,1
"OSC",33,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.","P Fischer, T Greitemeyer, D Frey","Fischer","2","JPSP","r_function",31,4,0,10,1,NA,1,1,1
"OSC",34,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.","J F_rster, N Liberman, S Kuschel","Förster","1","JPSP","r_function",61,8,0,7,1,NA,1,1,1
"OSC",35,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field","S Forti, GW Humphreys","Forti","1","PS","pdf_search",26,NA,NA,26,1,NA,1,1,1
"OSC",36,"Across-notation automatic numerical processing.","D Ganor-Stern, J Tzelgov","Ganor-Stern","2","JEP:LMC","r_function",28,2,0,17,1,NA,1,1,1
"OSC",37,"The space between us: Stereotype threat and distance in interracial contexts.","PA Goff, CM Steele, PG Davies","Goff","4","JPSP","r_function",49,2,1,15,0,NA,NA,1,1
"OSC",38,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.","T Goschke, G Dreisbach","Goschke","1","PS","pdf_search",17,NA,NA,17,1,NA,1,1,1
"OSC",39,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity","G Hajcak, D Foti","Hajcak","1","PS","r_function",5,2,0,NA,1,NA,0,1,1
"OSC",40,"_In_Group LoveÓ and _Out_Group HateÓ as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm","N Halevy, G Bornstein, L Sagiv","Halevy","1","PS","pdf_search",6,3,0,NA,NA,NA,NA,1,1
"OSC",41,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.","E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson","Harmon-Jones","2","JPSP","r_function",17,1,0,11,0,NA,NA,1,1
"OSC",42,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness","SJ Heine, EE Buchtel, A Norenzayan","Heine","1","PS","r_function",NA,NA,NA,NA,NA,NA,NA,1,1
"OSC",43,"The effects of an implemental mind-set on attitude strength.","MD Henderson, Y de Liver, PM Gollwitzer","Henderson","5","JPSP","r_function",42,1,0,20,1,NA,1,1,1
"OSC",44,"Precision of the anchor influences the amount of adjustment.","C Janiszewski, D Uy","Janiszewski","4","PS","pdf_search",28,NA,NA,NA,1,NA,1,1,1
"OSC",45,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","N Janssen, W Schirm, BZ Mahon, A Caramazza","Janssen","1","JEP:LMC","r_function",19,1,0,10,1,NA,1,1,1
"OSC",46,"A word-order constraint on phonological activation","N Janssen, FX Alario, A Caramazza","Janssen","2","PS","pdf_search",5,NA,NA,NA,NA,NA,NA,1,1
"OSC",47,"Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.","M Koo, A Fishbach","Koo","4","JPSP","r_function",48,2,0,9,0,NA,NA,1,1
"OSC",48,"Is happiness having what you want, wanting what you have, or both?","JT Larsen, AR McKibban","Larsen","2","PS","r_function",27,NA,NA,15,1,NA,1,1,1
"OSC",49,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.","GP Lau, AC Kay, SJ Spencer","Lau","1","PS","pdf_search",5,NA,NA,NA,0,NA,NA,1,1
"OSC",50,"Walking on eggshells: How expressing relationship insecurities perpetuates them.","EP Lemay, MS Clark","Lemay","5","JPSP","r_function",41,0,0,6,0,NA,NA,1,1
